City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,Maceio,-9.6658,-35.7353,74.64,94,20,3.44,BR,2021-10-04 03:42:25
107,Upernavik,72.7868,-56.1549,30.13,86,94,4.07,GL,2021-10-04 03:42:25
108,Cidreira,-30.1811,-50.2056,61.07,81,99,10.56,BR,2021-10-04 03:38:42
109,Quatre Cocos,-20.2078,57.7625,74.08,80,89,13.38,MU,2021-10-04 03:39:52
110,Marienburg,54.0359,19.0266,53.89,80,100,9.08,PL,2021-10-04 03:40:36
111,Saint George,37.1041,-113.5841,79.39,27,1,3.0,US,2021-10-04 03:39:36
112,Torbay,47.6666,-52.7314,52.57,93,75,9.22,CA,2021-10-04 03:36:41
113,Severnoye,56.3491,78.3619,33.46,87,100,7.9,RU,2021-10-04 03:42:26
114,Rio Grande,-32.035,-52.0986,53.94,74,77,13.8,BR,2021-10-04 03:42:26
115,Taoudenni,22.6783,-3.9836,89.17,11,50,6.51,ML,2021-10-04 03:32:32
116,Vao,-22.6667,167.4833,71.78,90,0,13.38,NC,2021-10-04 03:42:26
117,Vila Franca Do Campo,37.7167,-25.4333,73.2,91,93,5.91,PT,2021-10-04 03:39:07
118,Ulagan,50.6321,87.9563,35.98,40,51,2.24,RU,2021-10-04 03:42:27
119,Tautira,-17.7333,-149.15,77.02,75,17,5.91,PF,2021-10-04 03:42:27
120,Ocos,14.5094,-92.1933,80.31,77,35,2.86,GT,2021-10-04 03:42:27
121,Talnakh,69.4865,88.3972,23.65,94,100,6.69,RU,2021-10-04 03:36:44
122,Mwinilunga,-11.7358,24.4293,59.83,91,99,4.05,ZM,2021-10-04 03:42:28
123,Georgetown,5.4112,100.3354,89.55,67,20,1.99,MY,2021-10-04 03:40:18
124,Naze,28.3667,129.4833,83.32,62,4,16.4,JP,2021-10-04 03:42:28
125,Sangin,32.0728,64.8359,65.95,23,0,5.93,AF,2021-10-04 03:42:28
126,Sarankhola,22.3082,89.7897,86.36,73,78,8.61,BD,2021-10-04 03:42:29
127,Awjilah,29.1081,21.2869,67.46,53,0,8.08,LY,2021-10-04 03:42:29
128,Lom Sak,16.7798,101.2422,87.69,70,20,3.44,TH,2021-10-04 03:42:29
129,Manzanillo,20.3433,-77.1167,74.21,88,29,4.74,CU,2021-10-04 03:42:30
130,Provideniya,64.3833,-173.3,35.71,69,75,6.71,RU,2021-10-04 03:37:00
131,Oranjemund,-28.55,16.4333,53.11,73,100,11.74,NA,2021-10-04 03:42:30
132,Vastse-Kuuste,58.1669,26.9343,43.75,89,4,10.16,EE,2021-10-04 03:42:30
133,Batagay,67.6333,134.6333,29.79,62,39,1.63,RU,2021-10-04 03:38:22
134,Abha,18.2164,42.5053,60.62,63,0,0.0,SA,2021-10-04 03:38:55
135,Alice Springs,-23.7,133.8833,80.15,14,0,14.97,AU,2021-10-04 03:36:29
136,Orcopampa,-15.2661,-72.3417,44.94,82,70,6.26,PE,2021-10-04 03:42:31
137,Lebu,-37.6167,-73.65,47.86,79,0,19.62,CL,2021-10-04 03:32:37
138,Raudeberg,61.9875,5.1352,51.19,84,100,42.46,NO,2021-10-04 03:37:22
139,College,64.8569,-147.8028,34.59,95,90,3.44,US,2021-10-04 03:32:53
140,Carberry,49.8689,-99.3602,54.64,33,2,5.95,CA,2021-10-04 03:42:32
141,Marzuq,14.4,46.4667,76.55,57,88,6.58,YE,2021-10-04 03:36:42
142,Nouadhibou,20.931,-17.0347,76.26,55,4,18.84,MR,2021-10-04 03:37:36
143,Sola,-13.8833,167.55,84.87,74,53,4.61,VU,2021-10-04 03:42:32
144,Harindanga,22.0383,88.3214,87.78,73,94,8.59,IN,2021-10-04 03:42:32
145,Saint-Jovite,46.1186,-74.5966,47.95,93,25,0.0,CA,2021-10-04 03:42:33
146,Anito,12.4497,125.2886,79.16,95,100,9.93,PH,2021-10-04 03:42:33
147,Sao Filipe,14.8961,-24.4956,79.74,80,16,3.53,CV,2021-10-04 03:31:03
148,Pisco,-13.7,-76.2167,60.85,82,40,10.36,PE,2021-10-04 03:42:33
149,Bourail,-21.5667,165.4833,80.49,61,33,13.27,NC,2021-10-04 03:42:34
150,Kontagora,10.3999,5.4695,72.77,90,61,2.75,NG,2021-10-04 03:42:34
151,Flinders,-34.5833,150.8552,81.05,38,0,15.7,AU,2021-10-04 03:37:33
152,Labuhan,-6.8844,112.2051,88.39,53,98,5.61,ID,2021-10-04 03:42:34
153,Biaora,23.8667,76.9167,83.17,72,1,3.94,IN,2021-10-04 03:42:35
154,San Cristobal,7.7669,-72.225,75.38,97,96,2.86,VE,2021-10-04 03:36:27
155,Vardo,70.3705,31.1107,48.4,79,100,24.29,NO,2021-10-04 03:39:00
156,Evensk,61.95,159.2333,42.76,53,100,20.18,RU,2021-10-04 03:38:31
157,Oktyabrskoye,43.0645,44.7417,47.19,98,100,4.23,RU,2021-10-04 03:42:35
158,Powder Springs,33.8596,-84.6838,69.91,95,75,0.0,US,2021-10-04 03:42:35
159,Saint-Philippe,-21.3585,55.7679,75.22,80,47,12.41,RE,2021-10-04 03:42:36
160,Mandali,33.7499,45.5541,83.93,23,0,10.74,IQ,2021-10-04 03:42:36
161,Manono,-7.3,27.4167,70.38,92,100,1.34,CD,2021-10-04 03:42:36
162,Richards Bay,-28.783,32.0377,58.8,82,100,5.95,ZA,2021-10-04 03:42:37
163,Dubreka,9.7911,-13.5233,76.35,93,86,2.08,GN,2021-10-04 03:42:37
164,Khanskaya,44.677,39.9616,49.75,89,100,12.37,RU,2021-10-04 03:42:37
165,Gejiu,23.306,103.1635,64.98,75,82,5.44,CN,2021-10-04 03:42:38
