City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
163,Fenoarivo,MG,62.67,-18.933,47.4354,Hotel Carlton
164,Ilulissat,GL,12.22,69.2167,-51.1,Hotel Arctic
166,Tabou,CI,78.66,4.423,-7.3528,hotêl doufoulougou
167,Nanortalik,GL,20.68,60.1432,-45.2371,Hotel Kap Farvel
168,Celestun,MX,67.21,20.8667,-90.4,Hotel Playa Maya Resorts
170,San Patricio,US,55.83,28.017,-97.5169,"Motel 6 Sinton, TX"
171,Klaksvik,FO,32.92,62.2266,-6.589,Airbnb rooms
174,Nalut,LY,40.86,30.3333,10.85,
175,Kavaratti,IN,80.82,10.5669,72.642,Hotels in Lakshadweep Islands
176,Koumac,NC,84.92,-20.5667,164.2833,Le Monitel
177,Kempsey,AU,81.95,-31.0833,152.8333,Park Drive Motel
178,Isangel,VU,78.91,-19.55,169.2667,Tanna Lodge
179,Hasaki,JP,43.29,35.7333,140.8333,Hotel Sunrise Choshi
180,Tongren,CN,37.2,27.7172,109.1853,Fanjing Mountain International Conference Center
181,Tilichiki,RU,10.45,60.4667,166.1,
182,Corner Brook,CA,35.73,48.9667,-57.9484,Glynmill Inn
184,Pacifica,US,63.41,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
185,Yamada,JP,31.39,39.4667,141.95,Funakoshi Family Travel Village Auto Camping Ground
187,Dolores,AR,66.22,-36.3132,-57.6792,Apart Hotel - Arianos
188,Gedo,ET,50.54,9.0167,37.45,Mida Qanyi
189,Lerwick,GB,39.2,60.1545,-1.1494,The Lerwick Hotel
191,Ostrovnoy,RU,16.61,68.0531,39.5131,
192,Eureka,US,56.17,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
193,Lebu,CL,58.41,-37.6167,-73.65,Hostal Las Lilas
194,East London,ZA,69.33,-33.0153,27.9116,Tu Casa
195,Luocheng,CN,42.58,29.3848,104.0286,Luocheng Hotel
196,Jega,NG,69.06,12.2175,4.3792,ALH. Nasiru Ibrahim
197,Aksu,CN,24.3,41.1231,80.2644,Pudong Holiday Hotel
198,Itarema,BR,78.67,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
200,Saint George,US,53.64,37.1041,-113.5841,Best Western Plus Abbey Inn
202,Mayo,US,24.08,38.8876,-76.5119,The Westin Annapolis
203,Yulara,AU,78.64,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
204,Kankon,IN,71.4,15.0167,74.0167,Palolem Beach Resort
